condition,feature,operator,threshold,matched_count,miss_count,hit_count,miss_accuracy_pct,miss_coverage_pct,hit_leakage_pct
close_ema_3_daily_volatility_5_daily >= 3.1435654003561337,close_ema_3_daily_volatility_5_daily,>=,3.1435654003561337,87,60,27,68.96551724137932,25.210084033613445,14.285714285714285
close_to_close_ema_3_daily_difference_pct <= -3.2159039626685106,close_to_close_ema_3_daily_difference_pct,<=,-3.2159039626685106,86,56,30,65.11627906976744,23.52941176470588,15.873015873015872
close_ema_3_daily_slope_pct <= -3.1157058546245455,close_ema_3_daily_slope_pct,<=,-3.1157058546245455,86,56,30,65.11627906976744,23.52941176470588,15.873015873015872
close_ema_21_daily_volatility_5_daily <= 0.32635742057981537,close_ema_21_daily_volatility_5_daily,<=,0.32635742057981537,43,28,15,65.11627906976744,11.76470588235294,7.936507936507936
close_ema_55_daily_volatility_5_daily <= 0.13759939837531637,close_ema_55_daily_volatility_5_daily,<=,0.13759939837531637,43,28,15,65.11627906976744,11.76470588235294,7.936507936507936
close_ema_3_daily_volatility_5_daily >= 3.676347469805877,close_ema_3_daily_volatility_5_daily,>=,3.676347469805877,44,28,16,63.63636363636363,11.76470588235294,8.465608465608465
close_ema_8_daily_range_5_pct >= 10.53212204163152,close_ema_8_daily_range_5_pct,>=,10.53212204163152,44,28,16,63.63636363636363,11.76470588235294,8.465608465608465
close_ema_55_daily_range_5_pct >= 4.075363160530916,close_ema_55_daily_range_5_pct,>=,4.075363160530916,44,28,16,63.63636363636363,11.76470588235294,8.465608465608465
close_ema_221_daily_volatility_5_daily >= 0.4467341353771691,close_ema_221_daily_volatility_5_daily,>=,0.4467341353771691,44,28,16,63.63636363636363,11.76470588235294,8.465608465608465
close_ema_3_daily_range_5_pct >= 10.648425483310712,close_ema_3_daily_range_5_pct,>=,10.648425483310712,129,82,47,63.565891472868216,34.45378151260504,24.867724867724867
close_to_close_ema_3_daily_difference_pct <= -1.2756290945983872,close_to_close_ema_3_daily_difference_pct,<=,-1.2756290945983872,214,136,78,63.55140186915887,57.14285714285714,41.269841269841265
close_ema_3_daily_slope_pct <= -1.2595617583445096,close_ema_3_daily_slope_pct,<=,-1.2595617583445096,214,136,78,63.55140186915887,57.14285714285714,41.269841269841265
close_to_close_ema_3_daily_difference_pct <= -0.3789681993698641,close_to_close_ema_3_daily_difference_pct,<=,-0.3789681993698641,256,162,94,63.28125,68.0672268907563,49.735449735449734
close_ema_3_daily_slope_pct <= -0.3775374524842265,close_ema_3_daily_slope_pct,<=,-0.3775374524842265,256,162,94,63.28125,68.0672268907563,49.735449735449734
close_to_close_ema_8_daily_difference_pct <= -3.25717547721667,close_to_close_ema_8_daily_difference_pct,<=,-3.25717547721667,214,134,80,62.616822429906534,56.30252100840336,42.32804232804233
close_ema_8_daily_slope_pct <= -0.9220408538953349,close_ema_8_daily_slope_pct,<=,-0.9220408538953349,214,134,80,62.616822429906534,56.30252100840336,42.32804232804233
close_to_close_ema_3_daily_difference_pct <= -1.914549406812547,close_to_close_ema_3_daily_difference_pct,<=,-1.914549406812547,171,107,64,62.57309941520468,44.957983193277315,33.86243386243386
close_ema_3_daily_slope_pct <= -1.8785830069956309,close_ema_3_daily_slope_pct,<=,-1.8785830069956309,171,107,64,62.57309941520468,44.957983193277315,33.86243386243386
close_to_close_ema_3_daily_difference_pct <= 1.182642023323341,close_to_close_ema_3_daily_difference_pct,<=,1.182642023323341,299,186,113,62.207357859531776,78.15126050420169,59.78835978835979
close_ema_3_daily_slope_pct <= 1.19679583378709,close_ema_3_daily_slope_pct,<=,1.19679583378709,299,186,113,62.207357859531776,78.15126050420169,59.78835978835979
close_to_close_ema_8_daily_difference_pct <= -4.60009920258358,close_to_close_ema_8_daily_difference_pct,<=,-4.60009920258358,171,105,66,61.40350877192983,44.11764705882353,34.92063492063492
close_ema_8_daily_slope_pct <= -1.2972639356075106,close_ema_8_daily_slope_pct,<=,-1.2972639356075106,171,105,66,61.40350877192983,44.11764705882353,34.92063492063492
close_to_close_ema_13_daily_difference_pct >= 10.79321344922158,close_to_close_ema_13_daily_difference_pct,>=,10.79321344922158,44,27,17,61.36363636363637,11.344537815126051,8.994708994708994
close_to_close_ema_221_daily_difference_pct >= 45.68194365395895,close_to_close_ema_221_daily_difference_pct,>=,45.68194365395895,44,27,17,61.36363636363637,11.344537815126051,8.994708994708994
close_ema_3_daily_range_5_pct >= 15.207235332703087,close_ema_3_daily_range_5_pct,>=,15.207235332703087,44,27,17,61.36363636363637,11.344537815126051,8.994708994708994
close_ema_13_daily_slope_pct >= 1.8318209660151963,close_ema_13_daily_slope_pct,>=,1.8318209660151963,44,27,17,61.36363636363637,11.344537815126051,8.994708994708994
close_ema_144_daily_volatility_5_daily >= 0.5961616975823046,close_ema_144_daily_volatility_5_daily,>=,0.5961616975823046,44,27,17,61.36363636363637,11.344537815126051,8.994708994708994
close_ema_144_daily_range_5_pct >= 2.3875666974117276,close_ema_144_daily_range_5_pct,>=,2.3875666974117276,44,27,17,61.36363636363637,11.344537815126051,8.994708994708994
close_ema_221_daily_slope_pct >= 0.41702225021205364,close_ema_221_daily_slope_pct,>=,0.41702225021205364,44,27,17,61.36363636363637,11.344537815126051,8.994708994708994
close_to_close_ema_8_daily_difference_pct <= 0.08422533518187833,close_to_close_ema_8_daily_difference_pct,<=,0.08422533518187833,256,157,99,61.328125,65.96638655462185,52.38095238095239
close_ema_8_daily_slope_pct <= 0.024070173818978753,close_ema_8_daily_slope_pct,<=,0.024070173818978753,256,157,99,61.328125,65.96638655462185,52.38095238095239
close_ema_8_daily_volatility_5_daily >= 1.8243607434446467,close_ema_8_daily_volatility_5_daily,>=,1.8243607434446467,129,79,50,61.240310077519375,33.193277310924366,26.455026455026452
close_ema_8_daily_range_5_pct >= 7.509051093345049,close_ema_8_daily_range_5_pct,>=,7.509051093345049,129,79,50,61.240310077519375,33.193277310924366,26.455026455026452
high_low_ratio_daily >= 1.060869520989017,high_low_ratio_daily,>=,1.060869520989017,172,105,67,61.04651162790697,44.11764705882353,35.44973544973545
close_to_close_ema_3_daily_difference_pct <= -2.587394779046657,close_to_close_ema_3_daily_difference_pct,<=,-2.587394779046657,128,78,50,60.9375,32.773109243697476,26.455026455026452
