condition,feature,operator,threshold,matched_count,hit_count,non_hit_count,accuracy_pct,coverage_pct,non_hit_leakage_pct
close_to_close_ema_3_daily_difference_pct >= 5.507031975139705,close_to_close_ema_3_daily_difference_pct,>=,5.507031975139705,4,2,2,50,100,7.4074074074074066
high_low_ratio_daily >= 1.1019417629924688,high_low_ratio_daily,>=,1.1019417629924688,4,2,2,50,100,7.4074074074074066
close_ema_3_daily_slope_pct >= 5.8279807378797255,close_ema_3_daily_slope_pct,>=,5.8279807378797255,4,2,2,50,100,7.4074074074074066
close_ema_3_daily_range_5_pct <= 10.791494359863973,close_ema_3_daily_range_5_pct,<=,10.791494359863973,3,1,2,33.33333333333333,50,7.4074074074074066
close_ema_21_daily_range_5_pct <= 7.242232836622377,close_ema_21_daily_range_5_pct,<=,7.242232836622377,3,1,2,33.33333333333333,50,7.4074074074074066
close_to_close_ema_3_daily_difference_pct >= 4.6141288475343245,close_to_close_ema_3_daily_difference_pct,>=,4.6141288475343245,7,2,5,28.57142857142857,100,18.51851851851852
high_low_ratio_daily >= 1.0973451684596325,high_low_ratio_daily,>=,1.0973451684596325,7,2,5,28.57142857142857,100,18.51851851851852
close_ema_3_daily_slope_pct >= 4.837329461675803,close_ema_3_daily_slope_pct,>=,4.837329461675803,7,2,5,28.57142857142857,100,18.51851851851852
close_to_close_ema_8_daily_difference_pct >= 16.044493607381117,close_to_close_ema_8_daily_difference_pct,>=,16.044493607381117,4,1,3,25,50,11.11111111111111
close_to_close_ema_13_daily_difference_pct >= 25.8399875036954,close_to_close_ema_13_daily_difference_pct,>=,25.8399875036954,4,1,3,25,50,11.11111111111111
close_ema_3_daily_volatility_5_daily >= 4.828392699756239,close_ema_3_daily_volatility_5_daily,>=,4.828392699756239,4,1,3,25,50,11.11111111111111
close_ema_3_daily_range_5_pct >= 17.2589050259724,close_ema_3_daily_range_5_pct,>=,17.2589050259724,4,1,3,25,50,11.11111111111111
close_ema_8_daily_slope_pct >= 4.804380613661218,close_ema_8_daily_slope_pct,>=,4.804380613661218,4,1,3,25,50,11.11111111111111
close_ema_8_daily_volatility_5_daily >= 4.514235559077387,close_ema_8_daily_volatility_5_daily,>=,4.514235559077387,4,1,3,25,50,11.11111111111111
close_ema_8_daily_range_5_pct >= 16.26644976813802,close_ema_8_daily_range_5_pct,>=,16.26644976813802,4,1,3,25,50,11.11111111111111
close_ema_13_daily_slope_pct >= 4.500485394541778,close_ema_13_daily_slope_pct,>=,4.500485394541778,4,1,3,25,50,11.11111111111111
close_ema_13_daily_volatility_5_daily >= 4.267246318298858,close_ema_13_daily_volatility_5_daily,>=,4.267246318298858,4,1,3,25,50,11.11111111111111
close_ema_13_daily_range_5_pct >= 15.576306288569786,close_ema_13_daily_range_5_pct,>=,15.576306288569786,4,1,3,25,50,11.11111111111111
close_to_close_ema_3_daily_difference_pct >= 4.556909587505851,close_to_close_ema_3_daily_difference_pct,>=,4.556909587505851,10,2,8,20,100,29.629629629629626
high_low_ratio_daily >= 1.0649350682794299,high_low_ratio_daily,>=,1.0649350682794299,10,2,8,20,100,29.629629629629626
close_ema_3_daily_slope_pct >= 4.774478244377237,close_ema_3_daily_slope_pct,>=,4.774478244377237,10,2,8,20,100,29.629629629629626
close_to_close_ema_55_daily_difference_pct <= 39.1787625693485,close_to_close_ema_55_daily_difference_pct,<=,39.1787625693485,6,1,5,16.666666666666664,50,18.51851851851852
close_to_close_ema_144_daily_difference_pct <= 52.287883809819824,close_to_close_ema_144_daily_difference_pct,<=,52.287883809819824,6,1,5,16.666666666666664,50,18.51851851851852
close_ema_3_daily_volatility_5_daily <= 3.3792991497619207,close_ema_3_daily_volatility_5_daily,<=,3.3792991497619207,6,1,5,16.666666666666664,50,18.51851851851852
close_ema_3_daily_range_5_pct <= 13.90854051601723,close_ema_3_daily_range_5_pct,<=,13.90854051601723,6,1,5,16.666666666666664,50,18.51851851851852
close_ema_8_daily_range_5_pct <= 10.779737436521646,close_ema_8_daily_range_5_pct,<=,10.779737436521646,6,1,5,16.666666666666664,50,18.51851851851852
close_ema_13_daily_range_5_pct <= 8.990154523189537,close_ema_13_daily_range_5_pct,<=,8.990154523189537,6,1,5,16.666666666666664,50,18.51851851851852
close_ema_21_daily_volatility_5_daily <= 1.846037917716655,close_ema_21_daily_volatility_5_daily,<=,1.846037917716655,6,1,5,16.666666666666664,50,18.51851851851852
close_ema_21_daily_range_5_pct <= 7.497806838144169,close_ema_21_daily_range_5_pct,<=,7.497806838144169,6,1,5,16.666666666666664,50,18.51851851851852
close_ema_55_daily_slope_pct <= 1.472431218535385,close_ema_55_daily_slope_pct,<=,1.472431218535385,6,1,5,16.666666666666664,50,18.51851851851852
close_ema_55_daily_volatility_5_daily <= 1.105603542510112,close_ema_55_daily_volatility_5_daily,<=,1.105603542510112,6,1,5,16.666666666666664,50,18.51851851851852
close_ema_55_daily_range_5_pct <= 4.55232377638142,close_ema_55_daily_range_5_pct,<=,4.55232377638142,6,1,5,16.666666666666664,50,18.51851851851852
close_ema_144_daily_slope_pct <= 0.7366864554924532,close_ema_144_daily_slope_pct,<=,0.7366864554924532,6,1,5,16.666666666666664,50,18.51851851851852
close_ema_144_daily_volatility_5_daily <= 0.5640805545826761,close_ema_144_daily_volatility_5_daily,<=,0.5640805545826761,6,1,5,16.666666666666664,50,18.51851851851852
close_ema_144_daily_range_5_pct <= 2.260749258510322,close_ema_144_daily_range_5_pct,<=,2.260749258510322,6,1,5,16.666666666666664,50,18.51851851851852
close_to_close_ema_3_daily_difference_pct >= 4.449612569545082,close_to_close_ema_3_daily_difference_pct,>=,4.449612569545082,13,2,11,15.384615384615385,100,40.74074074074074
volume_to_volume_ema_21_daily_difference_pct >= 5.899720166995827,volume_to_volume_ema_21_daily_difference_pct,>=,5.899720166995827,13,2,11,15.384615384615385,100,40.74074074074074
volume_to_volume_ema_55_daily_difference_pct >= 26.248457997695763,volume_to_volume_ema_55_daily_difference_pct,>=,26.248457997695763,13,2,11,15.384615384615385,100,40.74074074074074
volume_to_volume_ema_144_daily_difference_pct >= 63.70332308634222,volume_to_volume_ema_144_daily_difference_pct,>=,63.70332308634222,13,2,11,15.384615384615385,100,40.74074074074074
high_low_ratio_daily >= 1.0489510562235584,high_low_ratio_daily,>=,1.0489510562235584,13,2,11,15.384615384615385,100,40.74074074074074
close_ema_3_daily_slope_pct >= 4.656823158130754,close_ema_3_daily_slope_pct,>=,4.656823158130754,13,2,11,15.384615384615385,100,40.74074074074074
close_to_close_ema_8_daily_difference_pct >= 15.457390459423195,close_to_close_ema_8_daily_difference_pct,>=,15.457390459423195,7,1,6,14.285714285714285,50,22.22222222222222
close_to_close_ema_13_daily_difference_pct >= 24.763662524908913,close_to_close_ema_13_daily_difference_pct,>=,24.763662524908913,7,1,6,14.285714285714285,50,22.22222222222222
close_to_close_ema_21_daily_difference_pct >= 37.31894544988754,close_to_close_ema_21_daily_difference_pct,>=,37.31894544988754,7,1,6,14.285714285714285,50,22.22222222222222
volume_to_volume_ema_55_daily_difference_pct >= 125.05361598903907,volume_to_volume_ema_55_daily_difference_pct,>=,125.05361598903907,7,1,6,14.285714285714285,50,22.22222222222222
