condition,feature,operator,threshold,matched_count,miss_count,hit_count,miss_accuracy_pct,miss_coverage_pct,hit_leakage_pct
close_to_close_ema_8_daily_difference_pct >= 16.044493607381117,close_to_close_ema_8_daily_difference_pct,>=,16.044493607381117,4,4,0,100,40,0
close_ema_3_daily_range_5_pct >= 17.2589050259724,close_ema_3_daily_range_5_pct,>=,17.2589050259724,4,4,0,100,40,0
close_ema_8_daily_slope_pct >= 4.804380613661218,close_ema_8_daily_slope_pct,>=,4.804380613661218,4,4,0,100,40,0
close_to_close_ema_3_daily_difference_pct >= 5.507031975139705,close_to_close_ema_3_daily_difference_pct,>=,5.507031975139705,4,3,1,75,30,5.263157894736842
close_to_close_ema_13_daily_difference_pct >= 25.8399875036954,close_to_close_ema_13_daily_difference_pct,>=,25.8399875036954,4,3,1,75,30,5.263157894736842
close_to_close_ema_21_daily_difference_pct >= 39.32260113468779,close_to_close_ema_21_daily_difference_pct,>=,39.32260113468779,4,3,1,75,30,5.263157894736842
close_ema_3_daily_slope_pct >= 5.8279807378797255,close_ema_3_daily_slope_pct,>=,5.8279807378797255,4,3,1,75,30,5.263157894736842
close_ema_3_daily_volatility_5_daily >= 4.828392699756239,close_ema_3_daily_volatility_5_daily,>=,4.828392699756239,4,3,1,75,30,5.263157894736842
close_ema_8_daily_volatility_5_daily >= 4.514235559077387,close_ema_8_daily_volatility_5_daily,>=,4.514235559077387,4,3,1,75,30,5.263157894736842
close_ema_8_daily_range_5_pct >= 16.26644976813802,close_ema_8_daily_range_5_pct,>=,16.26644976813802,4,3,1,75,30,5.263157894736842
close_ema_13_daily_slope_pct >= 4.500485394541778,close_ema_13_daily_slope_pct,>=,4.500485394541778,4,3,1,75,30,5.263157894736842
close_ema_13_daily_volatility_5_daily >= 4.267246318298858,close_ema_13_daily_volatility_5_daily,>=,4.267246318298858,4,3,1,75,30,5.263157894736842
close_ema_13_daily_range_5_pct >= 15.576306288569786,close_ema_13_daily_range_5_pct,>=,15.576306288569786,4,3,1,75,30,5.263157894736842
close_ema_21_daily_slope_pct >= 4.093216014151368,close_ema_21_daily_slope_pct,>=,4.093216014151368,4,3,1,75,30,5.263157894736842
close_to_close_ema_8_daily_difference_pct >= 15.457390459423195,close_to_close_ema_8_daily_difference_pct,>=,15.457390459423195,7,5,2,71.42857142857143,50,10.526315789473683
close_ema_8_daily_slope_pct >= 4.620454919225577,close_ema_8_daily_slope_pct,>=,4.620454919225577,7,5,2,71.42857142857143,50,10.526315789473683
close_to_close_ema_21_daily_difference_pct <= 22.654183334460512,close_to_close_ema_21_daily_difference_pct,<=,22.654183334460512,3,2,1,66.66666666666666,20,5.263157894736842
close_to_close_ema_55_daily_difference_pct <= 28.89159395532533,close_to_close_ema_55_daily_difference_pct,<=,28.89159395532533,3,2,1,66.66666666666666,20,5.263157894736842
close_to_close_ema_144_daily_difference_pct <= 29.32134645022985,close_to_close_ema_144_daily_difference_pct,<=,29.32134645022985,3,2,1,66.66666666666666,20,5.263157894736842
close_ema_21_daily_slope_pct <= 2.3179291247954517,close_ema_21_daily_slope_pct,<=,2.3179291247954517,3,2,1,66.66666666666666,20,5.263157894736842
close_ema_55_daily_slope_pct <= 1.0816331486189104,close_ema_55_daily_slope_pct,<=,1.0816331486189104,3,2,1,66.66666666666666,20,5.263157894736842
close_ema_55_daily_volatility_5_daily <= 0.8303882084395564,close_ema_55_daily_volatility_5_daily,<=,0.8303882084395564,3,2,1,66.66666666666666,20,5.263157894736842
close_ema_55_daily_range_5_pct <= 3.4630221520736506,close_ema_55_daily_range_5_pct,<=,3.4630221520736506,3,2,1,66.66666666666666,20,5.263157894736842
close_ema_144_daily_slope_pct <= 0.41177741444086735,close_ema_144_daily_slope_pct,<=,0.41177741444086735,3,2,1,66.66666666666666,20,5.263157894736842
close_ema_144_daily_volatility_5_daily <= 0.2775032029852351,close_ema_144_daily_volatility_5_daily,<=,0.2775032029852351,3,2,1,66.66666666666666,20,5.263157894736842
close_ema_3_daily_volatility_5_daily >= 4.605319322244128,close_ema_3_daily_volatility_5_daily,>=,4.605319322244128,10,6,4,60,60,21.052631578947366
close_ema_3_daily_range_5_pct >= 16.656847464068623,close_ema_3_daily_range_5_pct,>=,16.656847464068623,10,6,4,60,60,21.052631578947366
close_to_close_ema_3_daily_difference_pct >= 4.6141288475343245,close_to_close_ema_3_daily_difference_pct,>=,4.6141288475343245,7,4,3,57.14285714285714,40,15.789473684210526
close_to_close_ema_13_daily_difference_pct >= 24.763662524908913,close_to_close_ema_13_daily_difference_pct,>=,24.763662524908913,7,4,3,57.14285714285714,40,15.789473684210526
close_to_close_ema_21_daily_difference_pct >= 37.31894544988754,close_to_close_ema_21_daily_difference_pct,>=,37.31894544988754,7,4,3,57.14285714285714,40,15.789473684210526
close_ema_3_daily_slope_pct >= 4.837329461675803,close_ema_3_daily_slope_pct,>=,4.837329461675803,7,4,3,57.14285714285714,40,15.789473684210526
close_ema_3_daily_volatility_5_daily >= 4.692004876002959,close_ema_3_daily_volatility_5_daily,>=,4.692004876002959,7,4,3,57.14285714285714,40,15.789473684210526
close_ema_3_daily_range_5_pct >= 17.08069908786724,close_ema_3_daily_range_5_pct,>=,17.08069908786724,7,4,3,57.14285714285714,40,15.789473684210526
close_ema_13_daily_slope_pct >= 4.30495448768156,close_ema_13_daily_slope_pct,>=,4.30495448768156,7,4,3,57.14285714285714,40,15.789473684210526
close_ema_21_daily_slope_pct >= 3.876563818670728,close_ema_21_daily_slope_pct,>=,3.876563818670728,7,4,3,57.14285714285714,40,15.789473684210526
close_ema_55_daily_volatility_5_daily <= 1.4762155159732198,close_ema_55_daily_volatility_5_daily,<=,1.4762155159732198,9,5,4,55.55555555555556,50,21.052631578947366
close_ema_55_daily_range_5_pct <= 5.9643731240810185,close_ema_55_daily_range_5_pct,<=,5.9643731240810185,9,5,4,55.55555555555556,50,21.052631578947366
close_ema_8_daily_range_5_pct >= 14.271869142152305,close_ema_8_daily_range_5_pct,>=,14.271869142152305,13,7,6,53.84615384615385,70,31.57894736842105
close_to_close_ema_8_daily_difference_pct >= 14.017376751434343,close_to_close_ema_8_daily_difference_pct,>=,14.017376751434343,15,8,7,53.333333333333336,80,36.84210526315789
close_ema_8_daily_slope_pct >= 4.1720540830065636,close_ema_8_daily_slope_pct,>=,4.1720540830065636,15,8,7,53.333333333333336,80,36.84210526315789
close_ema_3_daily_volatility_5_daily >= 4.222363580294482,close_ema_3_daily_volatility_5_daily,>=,4.222363580294482,18,9,9,50,90,47.368421052631575
close_ema_144_daily_volatility_5_daily <= 0.9404066667847333,close_ema_144_daily_volatility_5_daily,<=,0.9404066667847333,12,6,6,50,60,31.57894736842105
close_ema_144_daily_range_5_pct <= 3.8332055380347883,close_ema_144_daily_range_5_pct,<=,3.8332055380347883,12,6,6,50,60,31.57894736842105
close_ema_221_daily_volatility_5_daily <= 0.7208920384376445,close_ema_221_daily_volatility_5_daily,<=,0.7208920384376445,12,6,6,50,60,31.57894736842105
close_ema_221_daily_range_5_pct <= 2.9585816331327464,close_ema_221_daily_range_5_pct,<=,2.9585816331327464,12,6,6,50,60,31.57894736842105
close_to_close_ema_8_daily_difference_pct >= 14.80939530962148,close_to_close_ema_8_daily_difference_pct,>=,14.80939530962148,10,5,5,50,50,26.31578947368421
close_to_close_ema_13_daily_difference_pct >= 23.3232722926068,close_to_close_ema_13_daily_difference_pct,>=,23.3232722926068,10,5,5,50,50,26.31578947368421
close_to_close_ema_21_daily_difference_pct >= 35.1291764721753,close_to_close_ema_21_daily_difference_pct,>=,35.1291764721753,10,5,5,50,50,26.31578947368421
close_ema_8_daily_slope_pct >= 4.418201197286282,close_ema_8_daily_slope_pct,>=,4.418201197286282,10,5,5,50,50,26.31578947368421
close_ema_13_daily_slope_pct >= 4.044427522735235,close_ema_13_daily_slope_pct,>=,4.044427522735235,10,5,5,50,50,26.31578947368421
close_ema_21_daily_slope_pct >= 3.640816533733892,close_ema_21_daily_slope_pct,>=,3.640816533733892,10,5,5,50,50,26.31578947368421
close_to_close_ema_55_daily_difference_pct <= 39.1787625693485,close_to_close_ema_55_daily_difference_pct,<=,39.1787625693485,6,3,3,50,30,15.789473684210526
close_to_close_ema_144_daily_difference_pct <= 52.287883809819824,close_to_close_ema_144_daily_difference_pct,<=,52.287883809819824,6,3,3,50,30,15.789473684210526
close_to_close_ema_221_daily_difference_pct <= 55.24762763491952,close_to_close_ema_221_daily_difference_pct,<=,55.24762763491952,6,3,3,50,30,15.789473684210526
close_ema_55_daily_slope_pct <= 1.472431218535385,close_ema_55_daily_slope_pct,<=,1.472431218535385,6,3,3,50,30,15.789473684210526
close_ema_55_daily_volatility_5_daily <= 1.105603542510112,close_ema_55_daily_volatility_5_daily,<=,1.105603542510112,6,3,3,50,30,15.789473684210526
close_ema_55_daily_range_5_pct <= 4.55232377638142,close_ema_55_daily_range_5_pct,<=,4.55232377638142,6,3,3,50,30,15.789473684210526
close_ema_144_daily_slope_pct <= 0.7366864554924532,close_ema_144_daily_slope_pct,<=,0.7366864554924532,6,3,3,50,30,15.789473684210526
close_ema_144_daily_volatility_5_daily <= 0.5640805545826761,close_ema_144_daily_volatility_5_daily,<=,0.5640805545826761,6,3,3,50,30,15.789473684210526
close_ema_144_daily_range_5_pct <= 2.260749258510322,close_ema_144_daily_range_5_pct,<=,2.260749258510322,6,3,3,50,30,15.789473684210526
close_ema_221_daily_slope_pct <= 0.5047864561505944,close_ema_221_daily_slope_pct,<=,0.5047864561505944,6,3,3,50,30,15.789473684210526
close_ema_221_daily_volatility_5_daily <= 0.399043090572716,close_ema_221_daily_volatility_5_daily,<=,0.399043090572716,6,3,3,50,30,15.789473684210526
close_ema_221_daily_range_5_pct <= 1.6781501180612681,close_ema_221_daily_range_5_pct,<=,1.6781501180612681,6,3,3,50,30,15.789473684210526
close_to_close_ema_55_daily_difference_pct >= 87.21926856299766,close_to_close_ema_55_daily_difference_pct,>=,87.21926856299766,4,2,2,50,20,10.526315789473683
volume_to_volume_ema_21_daily_difference_pct >= 134.33613531229562,volume_to_volume_ema_21_daily_difference_pct,>=,134.33613531229562,4,2,2,50,20,10.526315789473683
volume_to_volume_ema_55_daily_difference_pct >= 188.46800383079517,volume_to_volume_ema_55_daily_difference_pct,>=,188.46800383079517,4,2,2,50,20,10.526315789473683
high_low_ratio_daily >= 1.1019417629924688,high_low_ratio_daily,>=,1.1019417629924688,4,2,2,50,20,10.526315789473683
close_ema_21_daily_volatility_5_daily >= 3.7834850086668483,close_ema_21_daily_volatility_5_daily,>=,3.7834850086668483,4,2,2,50,20,10.526315789473683
close_ema_21_daily_range_5_pct >= 13.985734770242924,close_ema_21_daily_range_5_pct,>=,13.985734770242924,4,2,2,50,20,10.526315789473683
close_ema_55_daily_slope_pct >= 3.3381778851005177,close_ema_55_daily_slope_pct,>=,3.3381778851005177,4,2,2,50,20,10.526315789473683
close_ema_55_daily_volatility_5_daily >= 3.115463503505893,close_ema_55_daily_volatility_5_daily,>=,3.115463503505893,4,2,2,50,20,10.526315789473683
close_ema_55_daily_range_5_pct >= 11.746391530646648,close_ema_55_daily_range_5_pct,>=,11.746391530646648,4,2,2,50,20,10.526315789473683
close_to_close_ema_13_daily_difference_pct >= 21.29425576519343,close_to_close_ema_13_daily_difference_pct,>=,21.29425576519343,15,7,8,46.666666666666664,70,42.10526315789473
close_to_close_ema_144_daily_difference_pct <= 106.29051941275111,close_to_close_ema_144_daily_difference_pct,<=,106.29051941275111,15,7,8,46.666666666666664,70,42.10526315789473
close_ema_3_daily_volatility_5_daily >= 4.463998248109332,close_ema_3_daily_volatility_5_daily,>=,4.463998248109332,15,7,8,46.666666666666664,70,42.10526315789473
close_ema_3_daily_range_5_pct >= 16.151460234496717,close_ema_3_daily_range_5_pct,>=,16.151460234496717,15,7,8,46.666666666666664,70,42.10526315789473
close_ema_8_daily_range_5_pct >= 13.629804865343736,close_ema_8_daily_range_5_pct,>=,13.629804865343736,15,7,8,46.666666666666664,70,42.10526315789473
close_ema_13_daily_slope_pct >= 3.679634421695572,close_ema_13_daily_slope_pct,>=,3.679634421695572,15,7,8,46.666666666666664,70,42.10526315789473
close_ema_144_daily_slope_pct <= 1.509013392810877,close_ema_144_daily_slope_pct,<=,1.509013392810877,15,7,8,46.666666666666664,70,42.10526315789473
close_ema_144_daily_volatility_5_daily <= 1.3025908349296542,close_ema_144_daily_volatility_5_daily,<=,1.3025908349296542,15,7,8,46.666666666666664,70,42.10526315789473
close_ema_144_daily_range_5_pct <= 5.3985794465180215,close_ema_144_daily_range_5_pct,<=,5.3985794465180215,15,7,8,46.666666666666664,70,42.10526315789473
close_ema_221_daily_volatility_5_daily <= 1.0447968138368051,close_ema_221_daily_volatility_5_daily,<=,1.0447968138368051,15,7,8,46.666666666666664,70,42.10526315789473
close_to_close_ema_3_daily_difference_pct >= 4.449612569545082,close_to_close_ema_3_daily_difference_pct,>=,4.449612569545082,13,6,7,46.15384615384615,60,36.84210526315789
close_to_close_ema_8_daily_difference_pct >= 14.056033599529815,close_to_close_ema_8_daily_difference_pct,>=,14.056033599529815,13,6,7,46.15384615384615,60,36.84210526315789
close_to_close_ema_13_daily_difference_pct >= 21.810857379932845,close_to_close_ema_13_daily_difference_pct,>=,21.810857379932845,13,6,7,46.15384615384615,60,36.84210526315789
high_low_ratio_daily >= 1.0489510562235584,high_low_ratio_daily,>=,1.0489510562235584,13,6,7,46.15384615384615,60,36.84210526315789
close_ema_3_daily_slope_pct >= 4.656823158130754,close_ema_3_daily_slope_pct,>=,4.656823158130754,13,6,7,46.15384615384615,60,36.84210526315789
close_ema_3_daily_volatility_5_daily >= 4.5616237747295765,close_ema_3_daily_volatility_5_daily,>=,4.5616237747295765,13,6,7,46.15384615384615,60,36.84210526315789
close_ema_3_daily_range_5_pct >= 16.46387372768252,close_ema_3_daily_range_5_pct,>=,16.46387372768252,13,6,7,46.15384615384615,60,36.84210526315789
close_ema_8_daily_slope_pct >= 4.184041091773618,close_ema_8_daily_slope_pct,>=,4.184041091773618,13,6,7,46.15384615384615,60,36.84210526315789
close_ema_8_daily_volatility_5_daily >= 3.5867484132951395,close_ema_8_daily_volatility_5_daily,>=,3.5867484132951395,13,6,7,46.15384615384615,60,36.84210526315789
close_ema_13_daily_slope_pct >= 3.7722703129804254,close_ema_13_daily_slope_pct,>=,3.7722703129804254,13,6,7,46.15384615384615,60,36.84210526315789
close_ema_13_daily_volatility_5_daily >= 3.2391453416798144,close_ema_13_daily_volatility_5_daily,>=,3.2391453416798144,13,6,7,46.15384615384615,60,36.84210526315789
close_to_close_ema_8_daily_difference_pct >= 13.405049384126272,close_to_close_ema_8_daily_difference_pct,>=,13.405049384126272,18,8,10,44.44444444444444,80,52.63157894736842
close_to_close_ema_13_daily_difference_pct >= 19.795577957781347,close_to_close_ema_13_daily_difference_pct,>=,19.795577957781347,18,8,10,44.44444444444444,80,52.63157894736842
close_ema_3_daily_range_5_pct >= 15.306913817582736,close_ema_3_daily_range_5_pct,>=,15.306913817582736,18,8,10,44.44444444444444,80,52.63157894736842
close_ema_8_daily_slope_pct >= 3.98254619078475,close_ema_8_daily_slope_pct,>=,3.98254619078475,18,8,10,44.44444444444444,80,52.63157894736842
close_ema_8_daily_volatility_5_daily >= 3.2674064627030104,close_ema_8_daily_volatility_5_daily,>=,3.2674064627030104,18,8,10,44.44444444444444,80,52.63157894736842
close_ema_13_daily_slope_pct >= 3.411828177404167,close_ema_13_daily_slope_pct,>=,3.411828177404167,18,8,10,44.44444444444444,80,52.63157894736842
close_to_close_ema_55_daily_difference_pct <= 52.085578479312325,close_to_close_ema_55_daily_difference_pct,<=,52.085578479312325,9,4,5,44.44444444444444,40,26.31578947368421
close_to_close_ema_144_daily_difference_pct <= 65.8961251348265,close_to_close_ema_144_daily_difference_pct,<=,65.8961251348265,9,4,5,44.44444444444444,40,26.31578947368421
close_to_close_ema_221_daily_difference_pct <= 77.92707801321825,close_to_close_ema_221_daily_difference_pct,<=,77.92707801321825,9,4,5,44.44444444444444,40,26.31578947368421
close_ema_21_daily_volatility_5_daily <= 2.0513490847644973,close_ema_21_daily_volatility_5_daily,<=,2.0513490847644973,9,4,5,44.44444444444444,40,26.31578947368421
close_ema_21_daily_range_5_pct <= 8.197495346934266,close_ema_21_daily_range_5_pct,<=,8.197495346934266,9,4,5,44.44444444444444,40,26.31578947368421
close_ema_55_daily_slope_pct <= 1.9670416104082205,close_ema_55_daily_slope_pct,<=,1.9670416104082205,9,4,5,44.44444444444444,40,26.31578947368421
close_ema_144_daily_slope_pct <= 0.9301970481916518,close_ema_144_daily_slope_pct,<=,0.9301970481916518,9,4,5,44.44444444444444,40,26.31578947368421
close_ema_144_daily_volatility_5_daily <= 0.7680775773903395,close_ema_144_daily_volatility_5_daily,<=,0.7680775773903395,9,4,5,44.44444444444444,40,26.31578947368421
close_ema_144_daily_range_5_pct <= 3.1640624773232844,close_ema_144_daily_range_5_pct,<=,3.1640624773232844,9,4,5,44.44444444444444,40,26.31578947368421
close_ema_221_daily_slope_pct <= 0.7134824915547432,close_ema_221_daily_slope_pct,<=,0.7134824915547432,9,4,5,44.44444444444444,40,26.31578947368421
close_ema_221_daily_volatility_5_daily <= 0.5444734054375344,close_ema_221_daily_volatility_5_daily,<=,0.5444734054375344,9,4,5,44.44444444444444,40,26.31578947368421
close_ema_221_daily_range_5_pct <= 2.3327283287467133,close_ema_221_daily_range_5_pct,<=,2.3327283287467133,9,4,5,44.44444444444444,40,26.31578947368421
volume_to_volume_ema_3_daily_difference_pct >= -46.97001800883081,volume_to_volume_ema_3_daily_difference_pct,>=,-46.97001800883081,21,9,12,42.857142857142854,90,63.1578947368421
close_ema_3_daily_volatility_5_daily >= 4.041616550530627,close_ema_3_daily_volatility_5_daily,>=,4.041616550530627,21,9,12,42.857142857142854,90,63.1578947368421
volume_to_volume_ema_21_daily_difference_pct >= 69.77974564681169,volume_to_volume_ema_21_daily_difference_pct,>=,69.77974564681169,7,3,4,42.857142857142854,30,21.052631578947366
volume_to_volume_ema_55_daily_difference_pct >= 125.05361598903907,volume_to_volume_ema_55_daily_difference_pct,>=,125.05361598903907,7,3,4,42.857142857142854,30,21.052631578947366
volume_to_volume_ema_144_daily_difference_pct >= 171.97891261544322,volume_to_volume_ema_144_daily_difference_pct,>=,171.97891261544322,7,3,4,42.857142857142854,30,21.052631578947366
close_ema_8_daily_volatility_5_daily >= 4.22699655219654,close_ema_8_daily_volatility_5_daily,>=,4.22699655219654,7,3,4,42.857142857142854,30,21.052631578947366
close_ema_8_daily_range_5_pct >= 15.482727699934989,close_ema_8_daily_range_5_pct,>=,15.482727699934989,7,3,4,42.857142857142854,30,21.052631578947366
close_ema_13_daily_volatility_5_daily >= 3.8699183811485183,close_ema_13_daily_volatility_5_daily,>=,3.8699183811485183,7,3,4,42.857142857142854,30,21.052631578947366
close_ema_13_daily_range_5_pct >= 14.355933786550285,close_ema_13_daily_range_5_pct,>=,14.355933786550285,7,3,4,42.857142857142854,30,21.052631578947366
close_ema_21_daily_volatility_5_daily >= 3.4609399824542306,close_ema_21_daily_volatility_5_daily,>=,3.4609399824542306,7,3,4,42.857142857142854,30,21.052631578947366
close_ema_21_daily_range_5_pct >= 13.232667491997036,close_ema_21_daily_range_5_pct,>=,13.232667491997036,7,3,4,42.857142857142854,30,21.052631578947366
volume_to_volume_ema_3_daily_difference_pct >= -72.9573887119646,volume_to_volume_ema_3_daily_difference_pct,>=,-72.9573887119646,24,10,14,41.66666666666667,100,73.68421052631578
close_to_close_ema_144_daily_difference_pct <= 90.48336185786367,close_to_close_ema_144_daily_difference_pct,<=,90.48336185786367,12,5,7,41.66666666666667,50,36.84210526315789
close_to_close_ema_221_daily_difference_pct <= 99.93867672625235,close_to_close_ema_221_daily_difference_pct,<=,99.93867672625235,12,5,7,41.66666666666667,50,36.84210526315789
close_ema_55_daily_volatility_5_daily <= 1.914918786278173,close_ema_55_daily_volatility_5_daily,<=,1.914918786278173,12,5,7,41.66666666666667,50,36.84210526315789
close_ema_55_daily_range_5_pct <= 7.5916267434181135,close_ema_55_daily_range_5_pct,<=,7.5916267434181135,12,5,7,41.66666666666667,50,36.84210526315789
close_ema_144_daily_slope_pct <= 1.281721773541651,close_ema_144_daily_slope_pct,<=,1.281721773541651,12,5,7,41.66666666666667,50,36.84210526315789
close_ema_221_daily_slope_pct <= 0.9168634355557614,close_ema_221_daily_slope_pct,<=,0.9168634355557614,12,5,7,41.66666666666667,50,36.84210526315789
close_to_close_ema_55_daily_difference_pct <= 65.90090311769569,close_to_close_ema_55_daily_difference_pct,<=,65.90090311769569,17,7,10,41.17647058823529,70,52.63157894736842
close_to_close_ema_144_daily_difference_pct <= 121.20532628769367,close_to_close_ema_144_daily_difference_pct,<=,121.20532628769367,17,7,10,41.17647058823529,70,52.63157894736842
close_to_close_ema_221_daily_difference_pct <= 144.3466415579316,close_to_close_ema_221_daily_difference_pct,<=,144.3466415579316,17,7,10,41.17647058823529,70,52.63157894736842
close_ema_55_daily_slope_pct <= 2.5018384158627733,close_ema_55_daily_slope_pct,<=,2.5018384158627733,17,7,10,41.17647058823529,70,52.63157894736842
close_ema_55_daily_volatility_5_daily <= 2.2184112024027303,close_ema_55_daily_volatility_5_daily,<=,2.2184112024027303,17,7,10,41.17647058823529,70,52.63157894736842
close_ema_144_daily_slope_pct <= 1.7244112527714188,close_ema_144_daily_slope_pct,<=,1.7244112527714188,17,7,10,41.17647058823529,70,52.63157894736842
close_ema_144_daily_volatility_5_daily <= 1.5413320118508627,close_ema_144_daily_volatility_5_daily,<=,1.5413320118508627,17,7,10,41.17647058823529,70,52.63157894736842
close_ema_144_daily_range_5_pct <= 6.105728148206784,close_ema_144_daily_range_5_pct,<=,6.105728148206784,17,7,10,41.17647058823529,70,52.63157894736842
close_ema_221_daily_slope_pct <= 1.329690961858855,close_ema_221_daily_slope_pct,<=,1.329690961858855,17,7,10,41.17647058823529,70,52.63157894736842
close_ema_221_daily_volatility_5_daily <= 1.1882952200282566,close_ema_221_daily_volatility_5_daily,<=,1.1882952200282566,17,7,10,41.17647058823529,70,52.63157894736842
close_ema_221_daily_range_5_pct <= 4.748133991460185,close_ema_221_daily_range_5_pct,<=,4.748133991460185,17,7,10,41.17647058823529,70,52.63157894736842
close_to_close_ema_55_daily_difference_pct <= 72.13943378674676,close_to_close_ema_55_daily_difference_pct,<=,72.13943378674676,20,8,12,40,80,63.1578947368421
volume_to_volume_ema_5_daily_difference_pct <= 4.220648041376818,volume_to_volume_ema_5_daily_difference_pct,<=,4.220648041376818,20,8,12,40,80,63.1578947368421
close_ema_55_daily_slope_pct <= 2.745177377911644,close_ema_55_daily_slope_pct,<=,2.745177377911644,20,8,12,40,80,63.1578947368421
close_ema_55_daily_volatility_5_daily <= 2.4995103475468867,close_ema_55_daily_volatility_5_daily,<=,2.4995103475468867,20,8,12,40,80,63.1578947368421
close_to_close_ema_3_daily_difference_pct >= 4.4221592157028295,close_to_close_ema_3_daily_difference_pct,>=,4.4221592157028295,15,6,9,40,60,47.368421052631575
close_to_close_ema_21_daily_difference_pct >= 31.312053395819905,close_to_close_ema_21_daily_difference_pct,>=,31.312053395819905,15,6,9,40,60,47.368421052631575
close_to_close_ema_55_daily_difference_pct <= 61.84951146693862,close_to_close_ema_55_daily_difference_pct,<=,61.84951146693862,15,6,9,40,60,47.368421052631575
close_to_close_ema_221_daily_difference_pct <= 129.28743246728493,close_to_close_ema_221_daily_difference_pct,<=,129.28743246728493,15,6,9,40,60,47.368421052631575
volume_to_volume_ema_3_daily_difference_pct >= -10.604643180464093,volume_to_volume_ema_3_daily_difference_pct,>=,-10.604643180464093,15,6,9,40,60,47.368421052631575
volume_to_volume_ema_8_daily_difference_pct <= -18.555102028300833,volume_to_volume_ema_8_daily_difference_pct,<=,-18.555102028300833,15,6,9,40,60,47.368421052631575
volume_to_volume_ema_55_daily_difference_pct >= -18.76433160967489,volume_to_volume_ema_55_daily_difference_pct,>=,-18.76433160967489,15,6,9,40,60,47.368421052631575
volume_to_volume_ema_144_daily_difference_pct >= -3.362485783106328,volume_to_volume_ema_144_daily_difference_pct,>=,-3.362485783106328,15,6,9,40,60,47.368421052631575
high_low_ratio_daily >= 1.0418849472026006,high_low_ratio_daily,>=,1.0418849472026006,15,6,9,40,60,47.368421052631575
close_ema_3_daily_slope_pct >= 4.6267619977761,close_ema_3_daily_slope_pct,>=,4.6267619977761,15,6,9,40,60,47.368421052631575
close_ema_8_daily_volatility_5_daily >= 3.466587886518128,close_ema_8_daily_volatility_5_daily,>=,3.466587886518128,15,6,9,40,60,47.368421052631575
close_ema_13_daily_volatility_5_daily >= 3.061147060986767,close_ema_13_daily_volatility_5_daily,>=,3.061147060986767,15,6,9,40,60,47.368421052631575
close_ema_13_daily_range_5_pct >= 11.85711161208758,close_ema_13_daily_range_5_pct,>=,11.85711161208758,15,6,9,40,60,47.368421052631575
close_ema_21_daily_slope_pct >= 3.2324190164218587,close_ema_21_daily_slope_pct,>=,3.2324190164218587,15,6,9,40,60,47.368421052631575
close_ema_55_daily_slope_pct <= 2.344426966383171,close_ema_55_daily_slope_pct,<=,2.344426966383171,15,6,9,40,60,47.368421052631575
close_ema_55_daily_volatility_5_daily <= 2.14366982544564,close_ema_55_daily_volatility_5_daily,<=,2.14366982544564,15,6,9,40,60,47.368421052631575
close_ema_55_daily_range_5_pct <= 8.083816587074688,close_ema_55_daily_range_5_pct,<=,8.083816587074688,15,6,9,40,60,47.368421052631575
close_ema_221_daily_slope_pct <= 1.18931883870634,close_ema_221_daily_slope_pct,<=,1.18931883870634,15,6,9,40,60,47.368421052631575
close_ema_221_daily_range_5_pct <= 4.224233280621728,close_ema_221_daily_range_5_pct,<=,4.224233280621728,15,6,9,40,60,47.368421052631575
close_to_close_ema_3_daily_difference_pct >= 4.556909587505851,close_to_close_ema_3_daily_difference_pct,>=,4.556909587505851,10,4,6,40,40,31.57894736842105
volume_to_volume_ema_21_daily_difference_pct >= 41.09459609836253,volume_to_volume_ema_21_daily_difference_pct,>=,41.09459609836253,10,4,6,40,40,31.57894736842105
volume_to_volume_ema_55_daily_difference_pct >= 87.31032706080012,volume_to_volume_ema_55_daily_difference_pct,>=,87.31032706080012,10,4,6,40,40,31.57894736842105
volume_to_volume_ema_144_daily_difference_pct >= 125.3673720996143,volume_to_volume_ema_144_daily_difference_pct,>=,125.3673720996143,10,4,6,40,40,31.57894736842105
high_low_ratio_daily >= 1.0649350682794299,high_low_ratio_daily,>=,1.0649350682794299,10,4,6,40,40,31.57894736842105
close_ema_3_daily_slope_pct >= 4.774478244377237,close_ema_3_daily_slope_pct,>=,4.774478244377237,10,4,6,40,40,31.57894736842105
close_ema_8_daily_volatility_5_daily >= 3.950370371365735,close_ema_8_daily_volatility_5_daily,>=,3.950370371365735,10,4,6,40,40,31.57894736842105
close_ema_8_daily_range_5_pct >= 14.693168506899651,close_ema_8_daily_range_5_pct,>=,14.693168506899651,10,4,6,40,40,31.57894736842105
close_ema_13_daily_volatility_5_daily >= 3.5441104357551545,close_ema_13_daily_volatility_5_daily,>=,3.5441104357551545,10,4,6,40,40,31.57894736842105
close_ema_13_daily_range_5_pct >= 13.357505603522455,close_ema_13_daily_range_5_pct,>=,13.357505603522455,10,4,6,40,40,31.57894736842105
