Stock,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Result,Profit_%,ER_21,CumRet_21,WMA_Ratio_21
OIL,2023-01-23,160.10000610351562,2023-02-10,149.03334045410156,Loss,-6.91,0.6176253098623666,0.20799796907677615,1.0734051560377165
ACI,2023-01-31,650.4500122070312,2023-02-17,638.4500122070312,Loss,-1.84,0.5256031257853789,0.23600952438390738,1.0646526729368635
ITC,2023-02-14,372.11859130859375,2023-03-03,370.6742248535156,Loss,-0.39,0.6151386665936851,0.17551331656220462,1.0547278320983982
ITC,2023-02-22,369.6150207519531,2023-03-14,365.6189270019531,Loss,-1.08,0.5162377358557529,0.13649155106146593,1.0162559904114863
ITC,2023-02-23,373.2259521484375,2023-03-15,365.3300476074219,Loss,-2.12,0.5296681577461834,0.14353148775519822,1.021957659264158
BOROLTD,2023-04-24,341.9787292480469,2023-05-12,333.88232421875,Loss,-2.37,0.5580700560091717,0.25899608008799296,1.0913902326468963
ITC,2023-04-28,409.7685852050781,2023-05-18,404.1355285644531,Loss,-1.37,0.719109174783659,0.123712700794239,1.0541526104473742
KOTAKBANK,2023-04-28,387.6099853515625,2023-05-18,385.4800109863281,Loss,-0.55,0.761299764646302,0.14531806796124033,1.037526773075857
SHK,2023-04-28,115.0500030517578,2023-05-18,106.0999984741211,Loss,-7.78,0.6175212591888954,0.3354614162972187,1.0394112649728957
BHEL,2023-05-02,81.5999984741211,2023-05-19,80.05000305175781,Loss,-1.9,0.5288221088116686,0.14848691019306395,1.079371231856606
CAMLINFINE,2023-05-02,174.35000610351562,2023-05-19,172.6999969482422,Loss,-0.95,0.5159028610178952,0.3782609178143528,1.045097019161367
GNFC,2023-05-02,597.1500244140625,2023-05-19,590.5999755859375,Loss,-1.1,0.5483877374188287,0.19573494535892957,1.0826918455237633
ITC,2023-05-02,408.7093811035156,2023-05-19,404.2799682617188,Loss,-1.08,0.6833972411781233,0.11638613891510745,1.0449185904252734
SHK,2023-05-02,115.0500030517578,2023-05-19,105.6999969482422,Loss,-8.13,0.7523146022331528,0.3937007728470088,1.031908702577933
BOROLTD,2023-05-03,350.2848815917969,2023-05-22,345.54449462890625,Loss,-1.35,0.7298167671237736,0.37312941281463513,1.0571809893532915
GNFC,2023-05-03,600.8499755859375,2023-05-22,600.1500244140625,Loss,-0.12,0.6376775506058023,0.22497446602637614,1.07846039637523
ITC,2023-05-03,411.3092346191406,2023-05-22,408.9982604980469,Loss,-0.56,0.7074623505053597,0.12481896029252779,1.044957706746812
SHK,2023-05-03,111.1500015258789,2023-05-22,105.75,Loss,-4.86,0.5682611591655009,0.28052992647478914,0.9941687343934552
